,CORR_0,CORR_1,CORR_2,CORR_3,CORR_4
CD163,0.47679854811008043,0.4809378229018816,0.4149180356790615,0.4115581203831051,0.4537519865646206
CR2,0.5050005844729244,0.4135482808292632,0.4771124954331126,0.4891080695866402,0.5345569013495929
PCNA,0.5218625576968751,0.5363216155170081,0.5406132730755624,0.55591822821906,0.5503845041928723
VIM,0.45815283031194737,0.47516497036983174,0.53688894027987,0.49661553545123094,0.535534314899578
KRT5,0.6569557511429889,0.5542865932200272,0.5926861509768123,0.6896984842695156,0.5874630987278024
CD68,0.22737601613415367,0.2939017485865872,0.24349510708411143,0.27369568536249955,0.24675430728789355
CEACAM8,0.3856936698197442,0.3023976507122041,0.24842335350048925,0.23152168935978426,0.23601581970347252
PTPRC_1,0.516574006167778,0.5820744530122861,0.5778892358958325,0.5410180558431337,0.5193937608884919
PAX5,0.7646194081884189,0.7004280161728456,0.7372635558681294,0.7218279332201438,0.7158789602607206
SDC1,0.28176793518925386,0.19181105780104998,0.197305922834347,0.15880267203243542,0.16467160788894028
PTPRC_2,0.792929254443054,0.781314882011657,0.7674259262336827,0.7735749372563463,0.735106991417684
CD8A,0.811575600686523,0.8208008060202785,0.7974766966501009,0.7995341635627184,0.7922629307690733
BCL2,0.6660246099683418,0.618614967829973,0.7004318681851186,0.6371368788339251,0.6610028768266288
CD19,0.6929274737806618,0.619753633766847,0.6351175069414271,0.5878186750512239,0.6567529594372764
PDCD1,0.6607834574524356,0.6465521388506335,0.6688131731818199,0.6471717935105259,0.6850659363248826
ACTA2,0.7070654405235146,0.702558117330283,0.6785041564231984,0.720157726977826,0.7006099188563499
FCGR3A,0.362899114045565,0.34901862565544656,0.3337707133581195,0.37994786255748764,0.3152547372293145
ITGAX,0.3509341394666777,0.40711453407120385,0.4294570620713202,0.38544092293219107,0.39125675436423013
CXCR5,0.7886694411850754,0.7457712855044402,0.7726983944230018,0.7674138469652165,0.763579145743118
EPCAM,0.430408905917495,0.3678790942379879,0.4396783939451923,0.39194567949972087,0.3624473329332211
MS4A1,0.5808925532065058,0.6238272061648688,0.5961399317567525,0.6445870195311019,0.6109333831753925
CD3E,0.8542325651587721,0.8547740240357722,0.8223359846367321,0.8633147417898235,0.8619092021563458
CD14,0.40250742792316807,0.40965271173817375,0.3773667976610472,0.3932179665131403,0.4269240141560936
CD40,0.4238403712622388,0.2983482735090926,0.39421331080130695,0.3885388435999184,0.3868832167848003
PECAM1,0.5732589532573701,0.6121405032218782,0.5688672808175482,0.6239281919564574,0.5493379612853267
CD4,0.5442023684727375,0.5519646009397349,0.5565714866297921,0.5312910784171153,0.545625401249216
ITGAM,0.6503487232434778,0.5666968223612662,0.6302502252578578,0.6075385003701553,0.6132346476966667
CD27,0.5881679131851197,0.6416009809672947,0.5617369331775948,0.5682151550387222,0.6395797437983461
CCR7,0.6405490499399699,0.6199401041306013,0.6125145958709529,0.6395419249011445,0.6754165256309786
CD274,0.18794371240317548,0.28267175369421854,0.2760406135602278,0.22708531117693773,0.284359447103682
